filename,tenant_name,revenue,website,industry,business_description,credit_score,credit_rating,probability_of_default
FP TCE_v7.53 - Spectrum (NYSE CHTR) (2025-06-09).pdf,"Charter Communications, Inc. (Charter)",$3484M,https://corporate.charter.com/,"Broadband, TV, mobile, and voice services.","Broadband, TV, mobile, and voice services.",6.50,BB,
FP TCE_v7.44 - Pride Delivery (2024-12-12).pdf,"Pride Delivery and Installation, LLC",$12M,https://www.pridedandi.com/,"Appliance delivery, installation, and disposal services.","Appliance delivery, installation, and disposal services.",5.00,B,
FP TCE_v7.45 - TWF (2025-01-30).pdf,True World Foods Columbus LLC,$16.3M,http://www.trueworldfoods.com/,Seafood distributor specializing in sushi-grade products.,Seafood distributor specializing in sushi-grade products.,5.00,,
FP TCE_v7.53 - Europastry (2025-08-01).pdf,"Europastry, S.A.",$1794M,https://europastry.com/us/en/,Frozen bakery manufacturer and global distributor,Frozen bakery manufacturer and global distributor,5.00,,
FP TCE_v7.42 - Proven Partners Group (2024-08-06).pdf,"Proven Partners Group, LLC (PPG)",$73.7M,https://www.provenpartnersgroup.com/,Custom food production and logistics services.,Custom food production and logistics services.,4.00,,
"FP TCE_v6.66 - Vantec Hitachi Transport System (USA), Inc. (2024-03-23).pdf","Vantec Hitachi Transport System (USA), Inc.",$172.7M,https://www.vantec-gl.com/,Logistics and supply chain solutions provider.,Logistics and supply chain solutions provider.,,,
FP TCE_v6.67 - Unifoil Holdings Inc. (2024-05-01).pdf,Unifoil Holdings Inc.,$30.9M,https://unifoil.com/,Creates recyclable packaging for consumer goods industries.,Creates recyclable packaging for consumer goods industries.,,,
FP TCE_v7.44 - Zeus Scientific (2024-11-15).pdf,"Zeus Scientific, Inc.",$19.3M,https://www.zeusscientific.com/,Diagnostic immunoassays for disease detection.,Diagnostic immunoassays for disease detection.,4.50,,
FP TCE_v7.51 - Koontz Electric (2025-05-01).pdf,"Koontz Electric Company, Incorporated",$73M,https://koontzelectric.com/,Specialized industrial and utility electrical contractor.,Specialized industrial and utility electrical contractor.,6.00,BB,
FP TCE_v6.65 - Motorvation LLC (2023-11-07).pdf,Motorvation LLC,$28.9M,https://www.motorvationtrucks.com,Specializes in selling pre‐owned trucks.,Specializes in selling pre‐owned trucks.,,,
FP TCE_v6.65 - Beautylish (2023-12-22).pdf,Beautylish Inc.,$65.2M,https://www.beautylish.com/,Operator of an online cosmetic retail platform,Operator of an online cosmetic retail platform,,,
FP TCE_v7.44 - Modern Equipment Co Inc (2024-11-27).pdf,"Modern Equipment Co., Inc.",$21.8M,https://www.modernstoreequipment.com/,Designs and manufactures retail store fixtures.,Designs and manufactures retail store fixtures.,4.00,,
FP TCE_v7.45 - Florida Food Products (2025-02-28).pdf,"Florida Food Products, LLC",$253M,https://floridafood.com/,Natural plant-based ingredient solutions provider.,Natural plant-based ingredient solutions provider.,4.00,CCC,
FP TCE_v7.44 - Plastics Family Holdings (2024-12-16).pdf,"Plastics Family Holdings, In",$1270M,https://plasticsfamilyamericas.com/,Distributor of plastics and various value-added services.,Distributor of plastics and various value-added services.,4.00,,
FP TCE_v7.51 - NCD Distributors (2025-05-08).pdf,"National Convenience Distributors, LLC (NCD)",$3244.5M,https://www.thencd.com,Wholesale distributor to convenience store retailers.,Wholesale distributor to convenience store retailers.,5.50,,
FP TCE_v7.51 - Precision Group (2025-05-15).pdf,"Precision Facility Group, LLC / Precision Commercial Services, LLC (jointly PG)",$34M,https://www.precision-fg.com/,"Commercial relocation, logistics, and furniture services.","Commercial relocation, logistics, and furniture services.",3.00,CC,
"FP TCE_v7.44 - NewCo, Plastics (2025-02-05).pdf","NewCo Plastics, LLC (platform company)",$129.7M,https://www.newcoplastics.com/,Custom plastic injection molding and coatings.,Custom plastic injection molding and coatings.,5.50,,
FP TCE_v7.44 - Zina (2024-10-24).pdf,"Zina's Salads, Inc.",$14.2M,https://www.zsalads.com,"Wholesale manufacturer of fresh, ready-to-eat salads.","Wholesale manufacturer of fresh, ready-to-eat salads.",4.50,,
FP TCE_v7.52 - American Spraytech (2025-07-08).pdf,"American Spraytech Holdings, LLC",$202.1M,https://www.americanspraytech.com/,Contract manufacturer of aerosol and Bag-on-Valve products.,Contract manufacturer of aerosol and Bag-on-Valve products.,5.50,,
FP TCE_v7.45 - YunExpress (2025-03-25).pdf,"Yunexpress USA, Inc.",$176M,https://www.yunexpress.com/,Cross-border e-commerce logistics and delivery.,Cross-border e-commerce logistics and delivery.,4.50,,
FP TCE_v6.26 - RX Source (2023-08-16).pdf,RxSource (NJ) Inc.,$13M,https://rxsource.com/welcome,"Sources, packages, labels, stores, & distributes medical products.","Sources, packages, labels, stores, & distributes medical products.",,,
FP TCE_v7.42 - Window Nation (2024-08-21).pdf,"Window Nation, LLC (WN)",$401.1M,https://www.windownation.com/,"Home improvement - window, door, and siding replacement.","Home improvement - window, door, and siding replacement.",4.00,,
FP TCE_v7.44 - Piab (2024-10-24).pdf,"Piab USA, Inc. (Wholly-owned sub of Piab Group, HQ'd in Täby, Uppsala Lan, Sweden)",$57M,https://www.piab.com/en-us,Develops vacuum and automation handling solutions.,Develops vacuum and automation handling solutions.,4.00,CCC,
FP TCE_v7.45 - March Products - Gold Crest (2025-03-18).pdf,"March Products, Inc.",$17.5M,https://marchproducts.com/,Wholesaler of outdoor shade products.,Wholesaler of outdoor shade products.,4.50,,
FP TCE_v7.45 - Cavaform (2025-03-05).pdf,"Cavaform, Inc.",$23M,https://cavaform.com/,Plastic injection molding for medical & consumer applications,Plastic injection molding for medical & consumer applications,5.00,B,
FP TCE_v7.42 - MWD Logistics (2024-08-13).pdf,"MWD Logistics, Inc.",$16.8M,https://www.mwdlogistics.com/,Warehouse and inventory management services.,Warehouse and inventory management services.,3.50,,
FP TCE_v7.44 - Precision Roll Solutions (2024-10-10) - Consolidated.pdf,"Precision Roll Solutions, LLC (PRS)",$78M,https://www.precisionrollsolutions.com/,Precision-engineered rolls and custom industrial components.,Precision-engineered rolls and custom industrial components.,4.00,CCC,
FP TCE_v6.65 - Atlas Packaging Inc (2023-11-17).pdf,"Atlas Packaging, Inc.",$17.7M,https://www.atlaspackaginginc.com/,Manufacturer and distributor of packaging products,Manufacturer and distributor of packaging products,,,
FP TCE_v7.53 - Rocky Mountain NexBev (2025-08-09).pdf,"Rocky Mountain NexBev, Inc. (wholly-owned sub of Rocky Mountain High Brands (RMHB))",$49M,,Produces and distributes functional wellness beverages,Produces and distributes functional wellness beverages,3.00,CC,
FP TCE_v6.69 - Premio Foods (2024-07-08).pdf,"Premio Foods, Inc.",$266.6M,https://www.premiofoods.com/,Crafts mainly Italian sausages for diverse tastes.,Crafts mainly Italian sausages for diverse tastes.,,,
FP TCE_v6.65 - Wincup.Inc. and Subsidiaries (2024-03-29).pdf,"Wincup, Inc. (& Subsidiaries)",$251.9M,https://wincup.com/,Manufactures and distributes plastics and foam products.,Manufactures and distributes plastics and foam products.,,,
FP TCE_v7.45 - Jade Carpentry Contractors (2025-02-22).pdf,"Jade Carpentry Contractors, Inc.",$10.6M,https://www.jadecarpentry.com/,support consistency.Limited Year Founded 1990 Total,support consistency.Limited Year Founded 1990 Total,5.00,,
FP TCE_v7.45 - Pelton Shepherd (2025-04-01).pdf,"Pelton-Shepherd Industries, Inc.",$83M,https://www.peltonshepherd.com,Cold chain gel pack manufacturer.,Cold chain gel pack manufacturer.,5.00,B,
FP TCE_v7.53 - Advanced Flower Capital (2025-06-09).pdf,"Advanced Flower Capital, Inc. (AFCG)",$45.7M,https://advancedflowercapital.com/,Commercial Mortgage REIT providing secured loans to cannabis operators.,Commercial Mortgage REIT providing secured loans to cannabis operators.,3.50,,
FP TCE_v6.66 - EventLink (2024-04-09).pdf,"EventLink, LLC (wholly‐owned sub of EL Holding Company, Inc. and Subsidiaries)",$75.0M,https://www.go2eventlink.com/,"Events planning, marketing, and promotions organization","Events planning, marketing, and promotions organization",,,
FP TCE_v7.44 - Triangle Services (2024-11-19).pdf,"Triangle Services, Inc.",$178.9M,https://www.triangleservices.com/,"Integrated facility, aviation, and communication services.","Integrated facility, aviation, and communication services.",6.00,,
FP TCE_v7.45 - Bunting Magnetics (2025-03-04).pdf,Bunting Magnetics Co.,$38.5M,https://buntingmagnetics.com/,Magnetic technology solutions for industrial applications.,Magnetic technology solutions for industrial applications.,6.00,,
FP TCE_v7.45 - Enzo Biochem (2025-03-18).pdf,"Enzo Biochem, Inc",$31.9M,https://www.enzo.com,Biotechnology company specializing in molecular diagnostics.,Biotechnology company specializing in molecular diagnostics.,3.50,,
FP TCE_v7.44 - CFC Group (2025-01-15).pdf,"CFC Group, LLC",$17M,https://cfcgroupinc.com/,Sales agent for office furniture manufacturers.,Sales agent for office furniture manufacturers.,4.50,,
FP TCE_v7.45 - Modernfoldstyles (2025-03-04).pdf,"Modernfold/Styles, Inc.",$48.8M,https://www.modernfoldstyles.com/,Space management solutions and partition systems.,Space management solutions and partition systems.,3.00,,
FP TCE_v7.44 - Flower Shop El Chapin (2024-11-05).pdf,"Flower Shop El Chap In, LLC",$28M,,Florist providing floral arrangements and event services.,Florist providing floral arrangements and event services.,3.50,CC,
FP TCE_v7.44 - Vie de France Yamazaki (2024-12-12).pdf,"Vie De France Yamazaki, Inc. (Wholly-owned subsidiary of Yamazaki Baking Company, Ltd)",$122M,http://www.viedefrance.com/,French-inspired bakery products for retail/wholesale.,French-inspired bakery products for retail/wholesale.,5.50,B+,
FP TCE_v7.52 - Chemisys Inc (2025-05-29).pdf,"Chemisys Laboratories, LLC",$8.5M,https://chemisys.net/,Clinical diagnostic testing and laboratory services.,Clinical diagnostic testing and laboratory services.,3.50,,
FP TCE_v7.44 - Licaflex (2025-01-01).pdf,"Effectively Licaflex Packaging, Inc. despite Holdco",$55.0M,https://licaflex.com/,Flexible plastic packaging manufacturer and supplier.,Flexible plastic packaging manufacturer and supplier.,5.50,,
FP TCE_v7.51 - Precision Group (2025-05-22).pdf,"Precision Facility Group, LLC / Precision Commercial Services, LLC (jointly PG)",$18.2M,https://www.precision-fg.com/,"Commercial relocation, logistics, and furniture services.","Commercial relocation, logistics, and furniture services.",3.50,,
FP TCE_v6.68 - ZOne (2024-05-22).pdf,"Z.One Concept USA, Inc. (owned by Beautynova Group, backed by PAI Partners and Bluegem Capital Partners)",$21.2M,https://www.z-oneconcept.com/en/,Provides professional hair care products and services.,Provides professional hair care products and services.,,,
FP TCE_v6.66 - Central Salvage (2024-04-13).pdf,Central Salvage Company Inc. and Affiliates,$10.7M,http://centralsalvageco.com/,Demolition services for commercial and industrial properties,Demolition services for commercial and industrial properties,,,
FP TCE_v7.44 - OnScent (2025-02-19).pdf,"Premier Specialties, Inc.",$70.4M,https://onscent.com/,Fragrance and cosmetic ingredient manufacturing.,Fragrance and cosmetic ingredient manufacturing.,5.00,,
FP TCE_v7.45 - Prime Egrocery (2025-02-28).pdf,"Prime Egrocery, Inc.",$3.8M,https://www.ebay.com/str/yongantrading,Online retailer of health and wellness products.,Online retailer of health and wellness products.,4.00,CCC,
FP TCE_v7.44 - CNC Manufacturing (2025-01-23).pdf,"CNC Manufacturing, Inc.",$28M,http://cnc-mfg.net/,Precision-machined components for the oilfield industry.,Precision-machined components for the oilfield industry.,5.50,B+,
FP TCE_v7.52 - Sunshine State (2025-05-15).pdf,Used JDM Engine Inc / Sunshine State JDM Inc (JDM - consolidated),$28M,https://www.jdmenginedepotinc.com/,Imports and sells used Japanese engines.,Imports and sells used Japanese engines.,4.00,CCC,
FP TCE_v7.45 - Daring Design (2025-02-23).pdf,"Daring Design, LLC",$32M,https://image360.com/,Custom signage and visual branding solutions.,Custom signage and visual branding solutions.,4.00,CCC,
FP TCE_v7.45 - Family Vending (2025-02-14).pdf,Family Vending LLC,$10M,https://familyvending.llc/,Vending machine provider for businesses and facilities.,Vending machine provider for businesses and facilities.,4.00,CCC,
FP TCE_v7.44 - Lonestar Wholesale & Distribution (2025-01-24).pdf,"Neptune Imports, Inc.",$27M,https://neptuneimports.com/,Wholesale distributor of smoking and wellness products.,Wholesale distributor of smoking and wellness products.,4.00,CCC,
FP TCE_v7.44 - Genuine Parts Company (2024-11-16).pdf,Genuine Parts Company,$23090.6M,https://www.genpt.com/,Distributes automotive and industrial replacement parts.,Distributes automotive and industrial replacement parts.,7.00,BBB,
FP TCE_v7.52 - C&D Printing (2025-06-02).pdf,"C & D Printing, Inc.",$7.3M,https://cndprinting.com/,"Commercial printing, packaging, and mailing services.","Commercial printing, packaging, and mailing services.",4.50,,
FP TCE_v7.44 - Innoved Institute (2024-12-11).pdf,"Innoved Institute, LLC",$12.0M,https://innovedinstitute.com/,Healthcare training and simulation services provider.,Healthcare training and simulation services provider.,5.00,,
FP TCE_v7.44 - OnScent (2024-11-20).pdf,"Premier Specialties, Inc.",$61M,https://onscent.com/,Fragrance and cosmetic ingredient manufacturing.,Fragrance and cosmetic ingredient manufacturing.,4.50,,
FP TCE_v6.65 - New York Label & Box Works (2024-01-17).pdf,New York Label & Box Corporation (NYLB),$9.8M,https://www.since1878.com/,"Folding cartons, labels, and specialty packaging.","Folding cartons, labels, and specialty packaging.",,,
FP TCE_v7.52 - Foxlink (2025-05-27).pdf,Cheng UEI Precision Industry Co,$3207.8M,https://www.foxlink.com/,Electronic components and modules manufacturer.,Electronic components and modules manufacturer.,4.00,,
FP TCE_v7.42 - Currey & Company (2024-08-09).pdf,"Currey & Company, Inc.",$60.4M,https://www.curreyandcompany.com/,Manufactures and wholesales home furnishings.,Manufactures and wholesales home furnishings.,6.50,,
FP TCE_v7.52 - American Architectural Millwork (2025-05-12).pdf,"American Architectural Millwork, LLC (AAM)",$6.6M,http://www.aapgco.com/,Architectural wood products design and manufacturing.,Architectural wood products design and manufacturing.,4.50,,
FP TCE_v7.53 - Gossamer Security Solutions (2025-08-03).pdf,Industry Risk Assessment KPI Rating Contribution Industry Group Description,$54M,https://gossamersec.com/,Cybersecurity compliance testing and certification services.,Cybersecurity compliance testing and certification services.,5.50,B+,
FP TCE_v7.53 - Ken Color (2025-07-21).pdf,"Ken Color Laboratories, Inc.",$21M,https://thealbummaster.com/,Wholesale photofinishing and custom album manufacturing.,Wholesale photofinishing and custom album manufacturing.,4.00,CCC,
FP TCE_v7.45 - HT Airsystems Carolinas (2025-01-26).pdf,"HT Airsystems Carolinas, LLC",$102.7M,https://www.insightusa.com/,Commercial HVAC solutions and equipment distribution.,Commercial HVAC solutions and equipment distribution.,4.50,,
FP TCE_v7.52 - American Traffic Solutions (2025-05-09).pdf,"American Traffic Solutions, Inc. (ATS) sub of Verra Mobility",$222M,https://www.atsol.com,Automated traffic enforcement and mobility solutions.,Automated traffic enforcement and mobility solutions.,6.00,BB,
FP TCE_v6.57 - LB Plastics (2023-10-03).pdf,ownership (ARC Industries).,$11M,https://www.lbplastics.com/,Plastics manufacturing,Plastics manufacturing,,,
FP TCE_v7.52 - MWD Logistics (2025-05-14).pdf,"MWD Logistics, Inc.",$12.5M,https://www.mwdlogistics.com/,Warehouse and inventory management services (3PL),Warehouse and inventory management services (3PL),3.00,,
FP TCE_v6.23 - Core & Main_v2.pdf,"Core & Main, Inc.",$259M,https://coreandmain.com/,"Specialty Distributor (Pipes, Valves)","Specialty Distributor (Pipes, Valves)",,,
FP TCE_v6.68 - Reliable Restoration (2024-06-17).pdf,"Reliable Restoration, LLC",$18.9M,https://choosereliable.com/,Provides restoration and construction services in Southeast.,Provides restoration and construction services in Southeast.,,,
FP TCE_v6.68 - Ox Industries PROFORMA (2024-09-18).pdf,"Ox Industries, Inc. (PROFORMA RATING)",$277.1M,https://oxindustries.com/,Manufactures recycled paperboard and protective packaging products.,Manufactures recycled paperboard and protective packaging products.,,,
FP TCE_v7.44 - CSG (2025-01-16).pdf,"Clean Solutions Group, Inc. (CSG)",$112.0M,https://cleangrp.com/,"Produces sustainable nonwoven air, sanitation and floormat products.","Produces sustainable nonwoven air, sanitation and floormat products.",6.00,,
FP TCE_v7.53 - Control Works (2025-08-04).pdf,"Control Works, Inc.",$8M,https://control-works.com/,"Industrial automation, retrofits, and control panels.","Industrial automation, retrofits, and control panels.",4.00,CCC,
FP TCE_v7.53 - Baseball Lifestyle 101 (2025-07-02).pdf,"Baseball Lifestyle 101 Holding Company, LLC",$31.7M,https://www.bl101.com/,Baseball-themed apparel and lifestyle brand.,Baseball-themed apparel and lifestyle brand.,5.50,,
"FP TCE_v6.66 - Southern Aluminum Finishing Company, Inc. (2024-03-29).pdf","Southern Aluminum Finishing Company, Inc.",$44.5M,https://www.saf.com/,Processor and distributor of aluminum and other metals,Processor and distributor of aluminum and other metals,,,
FP TCE_v7.44 - Seal South (2024-12-03).pdf,"Seal South, Inc.",$7.3M,https://www.seal-il.com,Provides specialized educational and therapeutic services.,Provides specialized educational and therapeutic services.,5.00,,
FP TCE_v6.65 - Simonik Transportation & Warehousing Group (2023-10-25).pdf,"Simonik Transportation & Warehousing Group, LLC",$4.4M,https://www.simonikallied.com/,Residential and commercial moving and storage company,Residential and commercial moving and storage company,,,
FP TCE_v7.44 - C&J Contractors (2024-11-01).pdf,"C & J Contractors, LLC",$13M,https://www.facebook.com/ImprovementsCandJMd/,Residential General Contractor,Residential General Contractor,5.50,B+,
FP TCE_v7.44 - Brew Theory (2024-12-09).pdf,GREAT SOUTHERN COPACKERS LLC,$14.7M,https://www.brew-theory.com,Contract beverage manufacturing and distribution services.,Contract beverage manufacturing and distribution services.,2.50,,
FP TCE_v7.53 - GC Packaging (2025-07-31).pdf,"GC Packaging, LLC (GCP) - acquired by Fanatics Holdings",$206.3M,https://www.gcpackaging.com/,"Custom packaging, printing, and collectible-card production.","Custom packaging, printing, and collectible-card production.",6.00,,
FP TCE_v7.52 - International General Trading Group (2025-05-24).pdf,"• Product:Offers imported food items and personal care products, including Industry Risk Assessment KPI Rating Contribution Industry Group Description",$16M,,Imports and distributes food and hygiene products.,Imports and distributes food and hygiene products.,3.50,CC,
FP TCE_v7.53 - Harimatec Inc (2025-08-06).pdf,"Harimatec, Inc (wholly-owned sub of Harima Chemicals Group, Inc - TYO: 4410)",$11.1M,https://harimatec.com/,Manufactures specialty solder and brazing materials.,Manufactures specialty solder and brazing materials.,5.00,,
FP TCE_v7.45 - Antego Tire & Wheel (2025-03-18).pdf,Antego Tire and Wheel Inc,$15.3M,https://antegowheels.com/,Specialty tire and wheel assembly supplier/retailer.,Specialty tire and wheel assembly supplier/retailer.,4.50,,
FP TCE_v7.45 - Bengal Converting Services (2025-02-06).pdf,"Bengal Converting Services, Inc.",$2.6M,https://www.bengalgrp.com/,Custom material converting and processing services.,Custom material converting and processing services.,2.00,,
FP TCE_v7.45 - Infinite Windows (2025-03-21).pdf,"Infinite Windows, LLC",$36M,https://www.infinitewindows.com/,"Hurricane-rated windows, doors, and installation.","Hurricane-rated windows, doors, and installation.",5.50,B+,
FP TCE_v6.65 - Krowne Metal Corporation (2024-01-19).pdf,Krowne Metal Corporation,$91.3M,https://krowne.com/,Manufacturer & supplier of stainless steel underbar equipment,Manufacturer & supplier of stainless steel underbar equipment,,,
FP TCE_v7.45 - Sybridge - PROFORMA (2025-03-20).pdf,"Sybridge Technologies U.S. Holdings, Inc. |PROFORMA",$142M,https://sybridge.com/,Industrial technology-driven design and manufacturing solutions.,Industrial technology-driven design and manufacturing solutions.,5.00,B,
FP TCE_v7.53 - All Round Bakery Products (2025-07-08).pdf,"All Round Foods, Inc",$29.9M,https://allroundfoods.com/,Frozen bakery products for foodservice distributors.,Frozen bakery products for foodservice distributors.,5.50,,
FP TCE_v7.45 - TruckPro (2025-04-29).pdf,TruckPro Holding Corporation,$646.8M,https://www.truckpro.com/,Heavy-duty truck parts distribution and services.,Heavy-duty truck parts distribution and services.,3.00,,
FP TCE_v7.44 - Thaler Machine Holdings (2024-11-12) FY-24 & Proforma.pdf,"Thaler Machine Holdings, LLC and Subsidiary (Thaler Machine Company, Inc.) - FY-24 & Proforma",$53.9M,https://www.thalermachine.com/,Precision components for aerospace and defense industries.,Precision components for aerospace and defense industries.,5.50,,
FP TCE_v7.53 - NJ NY Gotham Football (2025-06-08).pdf,NJ/NY Gotham Football Club LLC,$9.2M,https://www.gothamfc.com/,Professional women’s soccer team and brand.,Professional women’s soccer team and brand.,2.50,,
FP TCE_v7.25 - Marketing.com (12.15.23).pdf,Marketing.com,$170.2M,https://marketing.com/,"Commercial printing, signage, and fulfillment services","Commercial printing, signage, and fulfillment services",,BB,
FP TCE_v7.44 - American Expediting Logistics (2024-12-29).pdf,"American Expediting Logistics, LLC",$139.0M,https://americanexpediting.com/,Time-critical logistics and delivery solutions.,Time-critical logistics and delivery solutions.,3.00,,
FP TCE_v7.53 - Coherent (2025-07-18).pdf,Coherent Corp,$5707.6M,https://www.coherent.com,"Lasers, optics, semiconductors, and photonic systems.","Lasers, optics, semiconductors, and photonic systems.",5.50,,
FP TCE_v7.44 - Insight Enterprise (2024-10-11)(1).pdf,"Insight Enterprises, Inc.",$9175.8M,https://www.insight.com,Global provider of IT and digital solutions.,Global provider of IT and digital solutions.,6.50,,
FP TCE_v7.51 - Precision Metal Industries (2025-04-18).pdf,"PRECISION METAL INDUSTRIES, INC. (PMI)",$20.6M,https://pmiquality.com/,Precision metal fabrication and assembly services.,Precision metal fabrication and assembly services.,3.50,,
FP TCE_v7.51 - Kreg Therapeutic (2025-04-23).pdf,KREG THERAPEUTICS LLC (KT),$26.9M,https://kreg.us/,Rents advanced hospital beds and equipment.,Rents advanced hospital beds and equipment.,4.50,,
FP TCE_v6.64 - Pinnacle Cosmetic Packaging (2023-10-09).pdf,Pinnacle Cosmetic Packaging LLC,$6.4M,,Packaging solution to cosmetics industry,Packaging solution to cosmetics industry,,,
FP TCE_v7.45 - Five Star Food Service (2025-03-24).pdf,"Five Star Food Service, Inc.",$572M,https://www.fivestarbreaktime.com,Unattended retail and workplace foodservice provider.,Unattended retail and workplace foodservice provider.,5.50,B+,
FP TCE_v7.45 - USA Cabinet Store (2025-03-03).pdf,"USA Cabinet Store, LLC",$434M,https://www.usacabinetstore.com/,Retailer of kitchen and bathroom cabinetry.,Retailer of kitchen and bathroom cabinetry.,3.00,CC,
FP TCE_v7.44 - DuBois Chemical (2024-12-17).pdf,"DuBois Chemicals, Inc.",$820M,https://www.duboischemicals.com/,Provides tailored specialty chemical solutions.,Provides tailored specialty chemical solutions.,4.00,CCC,
FP TCE_v7.44 - Zina - FY-24 (A) (2024-11-21).pdf,"Zina's Salads, Inc.",$14.9M,https://www.zsalads.com,"Wholesale manufacturer of fresh, ready-to-eat salads.","Wholesale manufacturer of fresh, ready-to-eat salads.",5.00,,
FP TCE_v6.65 - Gemcap (2023-11-17).pdf,GEMACP Logistics,$12.6M,https://gemcaplogistics.com/,Provide trucking & logistics services,Provide trucking & logistics services,,,
FP TCE_v7.44 - Mitchell Industrial Tire (2024-10-16).pdf,"Mitchell Industrial Tire Co., Inc. (MITCO)",$71.8M,https://www.mitco.com/,Manufactures and distributes industrial tires.,Manufactures and distributes industrial tires.,6.50,,
FP TCE_v6.65 - S&M Transportation (2023-11-16).pdf,S&M Transportation Inc.,$22.7M,https://smtrans.com/,Provides warehousing facilities and logistical services,Provides warehousing facilities and logistical services,,,
FP TCE_v7.53 - Cigarette Boat (2025-07-18).pdf,"Cigarette Holdings, LLC (CR)",$73.2M,https://cigaretteracing.com/,Business Manufactures luxury high-performance powerboats.,Business Manufactures luxury high-performance powerboats.,4.50,,
FP TCE_v7.45 - Sybridge - (2025-03-20).pdf,"Sybridge Technologies U.S. Holdings, Inc.",$142M,https://sybridge.com/,Industrial technology-driven design and manufacturing solutions.,Industrial technology-driven design and manufacturing solutions.,5.00,B,
